title,total_revenue
Sex and the City 2,95347692
42,95020213
M3GAN,94841885
The Book of Eli,94835059
"10,000 BC",94784201
Cold Mountain,94684764
Vanilla Sky,94322619
He's Just Not That Into You,93953653
Master and Commander: The Far Side of the World,93921256
Flight,93772375
DC League of Super-Pets,93637530
The Fighter,93617009
Maid in Manhattan,93603209
Julie & Julia,93570303
The Princess Diaries 2: Royal Engagement,93495479
The Bucket List,93466502
The Magnificent Seven,93432655
Two Weeks Notice,93351468
Dune,93240452
The Lion King2011 3D Release,93223606
Red Dragon,92955420
Elysium,92751727
The Town,92186262
Blade Runner 2049,92054159
John Wick: Chapter 2,92029184
Non-Stop,91742160
Beverly Hills Chihuahua,91385917
Tomorrowland,91304790
Think Like a Man,91181465
The Imitation Game,91125683
Heaven Is for Real,90994147
Ride Along 2,90862685
Scary Movie 4,90710620
Madea Goes to Jail,90508336
The Scorpion King,90450350
Get Hard,90411483
RED,90380162
Mystic River,90135191
Where the Crawdads Sing,90015996
The Black Phone,89850680
Legally Blonde 2,89819137
Terminator Genisys,89760955
Halloween Kills,89312145
Don't Breathe,89217875
Taken 3,89179052
Oblivion,89107235
High School Musical 3,89023517
The Ugly Truth,88766496
Percy Jackson & the Olympians: The Lightning Thief,88731293
Failure to Launch,88715192
Prince of Persia: The Sands of Time,88656132
Inside Man,88513495
The Game Plan,88378750
Starsky & Hutch,88219291
Planes,88210381
Flightplan,88209599
Along Came Polly,87887505
Unbreakable,87649441
Pineapple Express,87341380
Miss Peregrine's Home for Peculiar Children,87233361
The Lone Ranger,87054312
Sisters,87044645
Saw II,87039965
The Campaign,86907746
The Muppets,86774961
"Me, Myself & Irene",86533592
The Accountant,86260045
Dumb and Dumber To,86208010
The Emoji Movie,86089513
Mean Girls,86050784
Alita: Battle Angel,85838210
Alvin and the Chipmunks: The Road Chip,85833731
Annie,85807908
Cruella,85759984
Fury,85683740
The SpongeBob SquarePants Movie,85417988
Power Rangers,85364450
Green Book,85080171
The Expendables 2,85028192
Paranormal Activity 2,84752907
Tammy,84525432
"Crazy, Stupid, Love",84351197
Ferdinand,84298791
Annabelle,84273813
Anchorman: The Legend of Ron Burgundy,84271247
Open Season,84198888
Scooby-Doo 2: Monsters Unleashed,84198209
Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,84158461
The Other Woman,83882172
The Santa Clause 3: The Escape Clause,83875062
Up in the Air,83823381
Wrath of the Titans,83670083
Insidious: Chapter 2,83586447
Immortals,83504017
Brother Bear,83482856
I Can Only Imagine,83482352
Battle Los Angeles,83339879
Penguins of Madagascar,83301343
Smallfoot,83240103
Good Boys,83083070
Valkyrie,83077833
Turbo,83028127
Brokeback Mountain,82750610
Real Steel,82717854
Charlotte's Web,82599768
Cheaper by the Dozen 2,82540432
Scream 3,82512554
Let's Be Cops,82386141
Beowulf,82195215
The Pink Panther,82179952
Teenage Mutant Ninja Turtles: Out of the Shadows,82051601
Are We There Yet?,81782208
The Post,81737012
Maze Runner: The Scorch Trials,81670090
Unstoppable,81537988
Scream,81515526
Saving Mr. Banks,81454218
Freddy vs. Jason,81352892
Ted 2,81284830
School of Rock,81260551
21,81159365
Hellboy,80901337
Bridge to Terabithia,80564107
Eat Pray Love,80346638
The Dukes of Hazzard,80270227
What Happens in Vegas,80266543
Alien vs. Predator,80265199
Saw III,80238724
Nacho Libre,80197993
Jumper,80150379
Disturbia,80106701
The Mummy,80101125
Jack Reacher,80070736
Cloverfield,80048433
Men in Black: International,80001807
Knowing,79957634
Goosebumps,79926782
Zookeeper,79775182
Dear John,79745171
Dark Shadows,79727149
Eight Below,79546110
Monster-in-Law,79541939
The Day the Earth Stood Still,79308794
The Descendants,79259065
Limitless,79249455
War Horse,79120998
The Purge: Election Year,79042440
Space Cowboys,79012713
Snow Dogs,78881914
America's Sweethearts,78822400
The Texas Chainsaw Massacre,78568000
Blade II,78467000
Jimmy Neutron: Boy Genius,78251264
Pixels,78202755
Spy Kids 2: Island of Lost Dreams,78175394
Tower Heist,78046570
Man on Fire,77871663
The Monuments Men,77649394
March of the Penguins,77437223
Night School,77339130
Parental Guidance,77267296
Where the Wild Things Are,77233467
The A-Team,77196316
Hannah Montana: The Movie,77127521
U-571,77122415
The Terminal,77073959
Dolittle,77047065
Alice Through the Looking Glass,77041381
27 Dresses,76727525
Gangs of New York,76698614
Knight and Day2010 Re-release,76408367
Pete's Dragon,76233151
Paddington,76223578
The Ring Two,75941727
Hellboy II: The Golden Army,75791785
The Intern,75764672
Contagion,75658097
"You, Me and Dupree",75628110
We Bought a Zoo,75624550
2 Guns,75612460
Constantine,75526444
The Hitman's Bodyguard,75468583
The Family Man,75440065
Moneyball,75390492
The Girl on the Train,75347390
Ray,75331600
Coraline,75286229
The Notebook,75279548
Zombieland,75264804
Garfield,75197179
Eragon,75030163
The Exorcism of Emily Rose,74895743
Old School,74731063
Four Brothers,74494381
The Adventures of Tintin,74316831
Alien: Covenant,74249538
Annabelle Comes Home,74152591
Captain Underpants: The First Epic Movie,73883366
Hugo,73864507
Christmas with the Kranks,73701902
Jack and Jill,73683987
Godzilla vs. Kong,73381241
Law Abiding Citizen,73357727
Morbius,73305599
Yesterday,73286650
Tyler Perry's a Madea Family Funeral,73257045
The Princess Diaries,73225766
Tyler Perry's Boo! A Madea Halloween,73206343
Monster House,73176130
Zombieland: Double Tap,73123082
Hotel for Dogs,73034460
Dinner for Schmucks,73026337
Justin Bieber: Never Say Never,73013910
The Rookie,72999542
Jackass Number Two,72778712
No Country for Old Men,72765522
Hercules,72687933
Storks,72679278
Barnyard,72637803
White House Down,72605151
Sin City,72604000
The Interpreter,72554855
A.I. Artificial Intelligence,72353571
Ladder 49,72340110
Dolphin Tale,72286779
Vantage Point,72139891
A Bad Moms Christmas,72110659
The Haunted Mansion,72107129
Traffic,72092031
This Is It,72091016
10 Cloverfield Lane,72082998
Fred Claus,72006777
1408,71977957
Mama,71628180
The Purge: Anarchy,71562550
Sideways,71500193
"I Love You, Man",71440011
Safe Haven,71349120
The Spiderwick Chronicles,71195053
Spirit: Stallion of the Cimarron,70912288
Shallow Hal,70836296
No Strings Attached,70662220
Paul Blart: Mall Cop 2,70643207
The Smurfs 2,70579792
The Best Man Holiday,70525195
V for Vendetta,70511035
Barbershop,70328830
World Trade Center,70278893
Rocky Balboa,70269899
The Big Short,70259870
Fool's Gold,70231041
Big Momma's House 2,70129222
Act of Valor,70012847
Seven Pounds,69951824
RV,69870164
The First Purge,69086325
We Were Soldiers,69043000
Angel Has Fallen,69030436
White Chicks,69020874
Game Night,69001013
Scary Stories to Tell in the Dark,68947075
Bridge of Spies,68912003
John Carter,68864278
Sahara,68672425
Book Club,68566296
The House with a Clock in Its Walls,68549695
Road Trip,68540777
Percy Jackson: Sea of Monsters,68540619
The Golden Compass,68527661
Bring It On,68380000
Ticket to Paradise,68224815
Kill Bill: Vol. 1,68223118
Mr. Popper's Penguins,68198003
Obsessed,68153834
Guess Who,67890142
Skyscraper,67796355
This Is 40,67544505
Instant Family,67363237
A Good Day to Die Hard,67349198
Insidious: The Last Key,67347895
Role Models,67294270
Insomnia,67274077
The Tourist,67272092
Lights Out,67268835
Coach Carter,67259877
Hacksaw Ridge,67209615
The Woman King,67200270
Hollow Man,66969579
War Room,66847989
The Mexican,66845033
Spies in Disguise,66757013
Kangaroo Jack,66746137
Charlie Wilson's War,66661095
The Forgotten,66582461
Contraband,66528000
The Final Destination,66477700
The League of Extraordinary Gentlemen,66458414
Everything Everywhere All at Once,66403202
Looper,66391123
Warm Bodies,66380662
The Bounty Hunter,66349526
John Q,66225977
Allegiant,66184051
Big Fish,66075436
Magic Mike XXL,66013057
The Manchurian Candidate,65955630
X-Men: Dark Phoenix,65845974
Divine Secrets of the Ya-Ya Sisterhood,65819932
Lara Croft Tomb Raider: The Cradle of Life,65660196
Madea's Witness Protection,65653242
Lara Croft: Tomb Raider,65605217
Battleship,65233400
Jack the Giant Slayer,65187603
The Visit,65112020
Now You See Me 2,65075540
The Kid,65059175
Barbershop 2: Back in Business,65049742
Friday the 13th,65002019
Pitch Perfect,65001093
Exodus: Gods and Kings,64988138
Think Like a Man Too,64948947
Mirror Mirror,64935167
The Invisible Man,64914050
Step Up,64706291
Changing Lanes,64678000
Kill Bill: Vol. 2,64659725
Chronicle,64575175
The Amityville Horror,64538396
The Happening,64490034
The Purge,64473115
The Score,64397515
The Wedding Ringer,64348583
A Dog's Purpose,64321890
The Taking of Pelham 123,64301854
Hidalgo,64266271
Jackass: The Movie,64255312
The Nut Job,64251541
Stuart Little 2,64226518
17 Again,64167069
Halloween Ends,64105790
Ice Age: Collision Course,64050015
Happy Feet Two,64006466
Flushed Away,63970988
Last Vegas,63914167
Diary of a Wimpy Kid,63901573
Race to Witch Mountain,63838994
The Shape of Water,63699028
Unknown,63686397
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",63577853
Mona Lisa Smile,63491332
Holes,63453042
Miami Vice,63450470
The Time Traveler's Wife,63414846
Miracle,63366835
Hannah Montana and Miley Cyrus: Best of Both Worlds Concert,63350115
A Man Called Otto,63325742
Saw IV,63300095
Hope Springs,63299296
Herbie Fully Loaded,63290949
Madea's Family Reunion,63257940
The Holiday,63224849
The Boss,63077560
A Nightmare on Elm Street,63075011
Forgetting Sarah Marshall,62932375
Creed III,62753707
Jarhead,62658220
Black Mass,62575678
London Has Fallen,62524260
The Fast and the Furious: Tokyo Drift,62514415
The Adjustment Bureau,62495645
Spy Game,62362560
The Call of the Wild,62342368
Underworld Awakening,62321039
Terminator: Dark Fate,62253077
Deja Vu,62190904
Underworld: Evolution,62189945
About Schmidt,62103774
The Wolfman,61979680
Hannibal,61796558
Ender's Game,61737191
The Last Song,61723843
Miracles from Heaven,61705123
A Beautiful Day in the Neighborhood,61692037
Cinderella Man,61649094
Onward,61555145
Dog,61543210
Deepwater Horizon,61433527
Bewitched,61422816
Friday Night Lights,61227060
Stomp the Yard,61165754
The Green Mile,61046734
Prisoners,61002302
Get Him to the Greek,60974475
Stuart Little,60948996
Sky High,60901128
God's Not Dead,60755732
Abominable,60716390
Poseidon,60674817
Candyman,60632480
Dora and the Lost City of Gold,60477943
The Lucky One,60457138
Burn After Reading,60355347
Baby Mama,60321790
Why Him?,60269575
After Earth,60180759
Why Did I Get Married Too?,60095852
Resident Evil: Afterlife,60071598
Brüno,60054530
The Family Stone,60025095
Tooth Fairy,60008773
Shanghai Knights,59936206
The Good Shepherd,59908565
Little Miss Sunshine,59889703
Blockers,59839515
My Big Fat Greek Wedding 2,59689605
Son of God,59685208
The Dictator,59650222
Gothika,59600377
The Stepford Wives,59479922
The Wedding Planner,59471197
Love Actually,59393405
The Lego Ninjago Movie,59281555
Bad Santa,59230406
The Sorcerer's Apprentice,59199160
The Grand Budapest Hotel,59188655
Pacific Rim: Uprising,59185715
Dawn of the Dead,58909645
Vacation,58884188
Behind Enemy Lines,58855732
Bride Wars,58707170
Jack Reacher: Never Go Back,58697076
Water for Elephants,58684819
Total Recall,58429785
Curious George,58360760
RoboCop,58328623
The Secret Life of Walter Mitty,58178353
Easy A,58175298
Without a Paddle,58169323
Surf's Up,58159348
Little Man,58123929
Baywatch,58060186
The Lincoln Lawyer,58009200
Scary Movie 2,57911975
